IBDD-CC,IBDD-ACC,IBDD-MS,IBDD-DyS,real_IBDD,baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline,IKS-CC,IKS-ACC,IKS-MS,IKS-DyS,real_IKS
0.26,0.22,0.22,0.22,0.19,0.27,0.18,0.2,0.22,0.19,0.27,0.18,0.2,0.21,0.19
0.27,0.24,0.22,0.23,0.19,0.28,0.2,0.2,0.23,0.19,0.28,0.2,0.21,0.22,0.19
0.26,0.22,0.21,0.22,0.19,0.28,0.2,0.2,0.23,0.19,0.28,0.2,0.21,0.22,0.19
0.26,0.22,0.21,0.22,0.19,0.28,0.2,0.2,0.23,0.19,0.28,0.2,0.21,0.22,0.19
0.27,0.24,0.22,0.23,0.19,0.29,0.21,0.21,0.23,0.19,0.29,0.22,0.21,0.22,0.19
0.27,0.24,0.22,0.22,0.19,0.29,0.21,0.2,0.23,0.19,0.29,0.22,0.21,0.22,0.19
0.27,0.24,0.22,0.22,0.18,0.29,0.21,0.21,0.23,0.18,0.29,0.22,0.21,0.23,0.18
0.28,0.25,0.22,0.23,0.18,0.3,0.23,0.21,0.24,0.18,0.3,0.23,0.22,0.23,0.18
0.28,0.25,0.22,0.23,0.18,0.3,0.23,0.21,0.24,0.18,0.3,0.23,0.22,0.23,0.18
0.28,0.25,0.22,0.22,0.18,0.3,0.23,0.21,0.24,0.18,0.3,0.23,0.22,0.23,0.18
0.28,0.25,0.22,0.22,0.18,0.3,0.23,0.21,0.24,0.18,0.3,0.23,0.22,0.23,0.18
0.27,0.24,0.21,0.22,0.19,0.3,0.23,0.21,0.24,0.19,0.3,0.23,0.22,0.23,0.19
0.28,0.25,0.22,0.22,0.18,0.31,0.25,0.21,0.24,0.18,0.31,0.25,0.22,0.24,0.18
0.28,0.25,0.22,0.22,0.18,0.3,0.23,0.21,0.23,0.18,0.3,0.23,0.21,0.22,0.18
0.28,0.25,0.22,0.22,0.18,0.3,0.23,0.21,0.23,0.18,0.3,0.23,0.21,0.22,0.18
0.27,0.24,0.2,0.2,0.18,0.29,0.21,0.19,0.22,0.18,0.29,0.22,0.2,0.21,0.18
0.28,0.25,0.21,0.21,0.18,0.3,0.23,0.2,0.23,0.18,0.3,0.23,0.21,0.22,0.18
0.28,0.25,0.21,0.21,0.19,0.3,0.23,0.2,0.23,0.19,0.3,0.23,0.21,0.22,0.19
0.28,0.25,0.21,0.22,0.19,0.3,0.23,0.2,0.23,0.19,0.3,0.23,0.21,0.22,0.19
0.28,0.25,0.22,0.22,0.2,0.31,0.25,0.22,0.24,0.2,0.31,0.25,0.22,0.24,0.2
0.28,0.25,0.22,0.22,0.19,0.31,0.25,0.22,0.24,0.19,0.31,0.25,0.22,0.24,0.19
0.28,0.25,0.22,0.22,0.19,0.32,0.26,0.23,0.25,0.19,0.31,0.25,0.23,0.24,0.19
0.28,0.25,0.22,0.22,0.19,0.32,0.26,0.23,0.25,0.19,0.31,0.25,0.23,0.24,0.19
0.28,0.25,0.22,0.22,0.19,0.32,0.26,0.23,0.25,0.19,0.31,0.25,0.23,0.24,0.19
0.28,0.25,0.22,0.22,0.19,0.32,0.26,0.23,0.25,0.19,0.31,0.25,0.23,0.24,0.19
0.29,0.27,0.24,0.23,0.2,0.33,0.28,0.24,0.27,0.2,0.32,0.27,0.25,0.25,0.2
0.29,0.27,0.24,0.23,0.2,0.33,0.28,0.24,0.27,0.2,0.32,0.27,0.25,0.25,0.2
0.29,0.27,0.24,0.23,0.2,0.33,0.28,0.24,0.27,0.2,0.32,0.27,0.25,0.25,0.2
0.29,0.27,0.25,0.24,0.2,0.33,0.28,0.24,0.27,0.2,0.32,0.27,0.25,0.25,0.2
0.3,0.29,0.25,0.25,0.2,0.33,0.28,0.24,0.27,0.2,0.32,0.27,0.26,0.26,0.2
0.3,0.29,0.25,0.25,0.21,0.33,0.28,0.24,0.26,0.21,0.32,0.27,0.26,0.25,0.21
0.31,0.31,0.27,0.26,0.21,0.33,0.28,0.24,0.26,0.21,0.32,0.27,0.26,0.25,0.21
0.31,0.31,0.27,0.27,0.21,0.33,0.28,0.24,0.26,0.21,0.32,0.27,0.26,0.25,0.21
0.31,0.31,0.25,0.26,0.21,0.32,0.26,0.24,0.25,0.21,0.31,0.25,0.26,0.25,0.21
0.31,0.31,0.25,0.26,0.2,0.31,0.25,0.24,0.25,0.2,0.3,0.23,0.25,0.24,0.2
0.32,0.32,0.28,0.28,0.21,0.32,0.26,0.26,0.27,0.21,0.31,0.25,0.27,0.26,0.21
0.32,0.32,0.28,0.28,0.21,0.32,0.26,0.26,0.27,0.21,0.31,0.25,0.27,0.26,0.21
0.33,0.34,0.29,0.29,0.21,0.33,0.28,0.26,0.28,0.21,0.32,0.27,0.28,0.28,0.21
0.34,0.36,0.31,0.31,0.22,0.34,0.3,0.29,0.3,0.22,0.33,0.28,0.3,0.29,0.22
0.33,0.34,0.29,0.29,0.22,0.33,0.28,0.26,0.28,0.22,0.32,0.27,0.28,0.27,0.22
0.34,0.36,0.3,0.3,0.21,0.34,0.3,0.27,0.28,0.21,0.33,0.28,0.28,0.28,0.21
0.35,0.37,0.32,0.32,0.21,0.35,0.31,0.29,0.3,0.21,0.34,0.3,0.3,0.3,0.21
0.36,0.39,0.33,0.33,0.21,0.36,0.33,0.3,0.31,0.21,0.35,0.32,0.32,0.31,0.21
0.36,0.39,0.33,0.33,0.21,0.36,0.33,0.3,0.31,0.21,0.35,0.32,0.31,0.3,0.21
0.36,0.39,0.33,0.32,0.21,0.35,0.31,0.29,0.3,0.21,0.34,0.3,0.3,0.3,0.21
0.35,0.37,0.31,0.31,0.21,0.34,0.3,0.28,0.29,0.21,0.33,0.28,0.29,0.28,0.21
0.34,0.36,0.3,0.3,0.21,0.34,0.3,0.26,0.28,0.21,0.33,0.28,0.28,0.28,0.21
0.34,0.36,0.3,0.3,0.2,0.34,0.3,0.26,0.28,0.2,0.33,0.28,0.28,0.28,0.2
0.35,0.37,0.3,0.31,0.2,0.35,0.31,0.27,0.28,0.2,0.34,0.3,0.29,0.29,0.2
0.35,0.37,0.3,0.31,0.2,0.35,0.31,0.27,0.28,0.2,0.34,0.3,0.29,0.29,0.2
0.35,0.37,0.3,0.31,0.2,0.36,0.33,0.28,0.29,0.2,0.35,0.32,0.3,0.29,0.2
0.34,0.36,0.3,0.31,0.21,0.35,0.31,0.28,0.28,0.21,0.34,0.3,0.3,0.29,0.21
0.34,0.36,0.3,0.3,0.21,0.35,0.31,0.28,0.28,0.21,0.34,0.3,0.3,0.29,0.21
0.33,0.34,0.3,0.3,0.21,0.34,0.3,0.27,0.28,0.21,0.33,0.28,0.29,0.28,0.21
0.21,0.17,0.17,0.23,0.21,0.34,0.3,0.27,0.28,0.21,0.33,0.28,0.29,0.28,0.21
0.21,0.17,0.17,0.24,0.21,0.35,0.31,0.28,0.28,0.21,0.34,0.3,0.3,0.29,0.21
0.22,0.18,0.19,0.24,0.21,0.36,0.33,0.3,0.29,0.21,0.35,0.32,0.31,0.3,0.21
0.23,0.2,0.2,0.25,0.21,0.37,0.34,0.32,0.3,0.21,0.36,0.33,0.33,0.31,0.21
0.23,0.2,0.2,0.25,0.21,0.37,0.34,0.32,0.3,0.21,0.36,0.33,0.33,0.31,0.21
0.23,0.2,0.2,0.25,0.21,0.36,0.33,0.31,0.29,0.21,0.35,0.32,0.31,0.3,0.21
0.23,0.2,0.2,0.25,0.21,0.36,0.33,0.31,0.29,0.21,0.35,0.32,0.31,0.3,0.21
0.23,0.2,0.2,0.25,0.21,0.35,0.31,0.3,0.28,0.21,0.34,0.3,0.31,0.29,0.21
0.23,0.2,0.2,0.25,0.21,0.35,0.31,0.29,0.28,0.21,0.34,0.3,0.3,0.29,0.21
0.23,0.2,0.2,0.25,0.21,0.35,0.31,0.29,0.28,0.21,0.34,0.3,0.3,0.29,0.21
0.22,0.18,0.19,0.23,0.21,0.34,0.3,0.29,0.26,0.21,0.33,0.28,0.29,0.27,0.21
0.23,0.2,0.2,0.23,0.2,0.35,0.31,0.31,0.27,0.2,0.34,0.3,0.31,0.28,0.2
0.23,0.2,0.2,0.23,0.2,0.35,0.31,0.3,0.27,0.2,0.34,0.3,0.3,0.28,0.2
